"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 7082         ","OCL  209          ","OPNCL","CYG","21 29.4","+47 05"," 7.2","99.9","86 ","9 ","  25   m","        ","   ","IV 2 p     ","    "," 9.9 ","    ","Cl;L;cRi;lC;st10..13                                   ","H VII 52                                                                              "
"PK  96+ 2.1      ","K3-61             ","PLNNB","CYG","21 30.0","+54 27","16.8","99.9","56 ","3 ","   6.1 s","        ","   ","2          ","    ","14.8 ","    ","                                                       ","                                                                                      "
"NGC 7086         ","OCL  214          ","OPNCL","CYG","21 30.5","+51 36"," 8.4","99.9","57 ","3 ","   9   m","        ","   ","II 2 m     ","50  ","10.2 ","  H ","Cl;cL;vRi;pC;*11..16                                   ","H VI 32                                                                               "
"PK  93- 0.1      ","K3-82             ","PLNNB","CYG","21 31.1","+50 00","16.0","99.9","57 ","3 ","  24.0 s","        ","   ","           ","    ","19.5 ","    ","                                                       ","                                                                                      "
"PK  95+ 0.1      ","K3-62             ","PLNNB","CYG","21 32.0","+52 34","15.8","99.9","57 ","3 ","   2.5 s","        ","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7092         ","M  39             ","OPNCL","CYG","21 32.2","+48 26"," 4.6","11  ","86 ","9 ","  32   m","        ","   ","III 2 p    ","30  "," 6.8 ","   M","Cl;vL;P;vlC;*7...10                                    ","Large but loose cluster                                                               "
"IC  5117         ","PK 89-5.1         ","PLNNB","CYG","21 32.5","+44 36","13.3","3   ","86 ","9 ","   2   s","        ","   ","2          ","    ","16.7 ","    ","vS;F;Stellar                                           ","                                                                                      "
"PK  86- 8.1      ","Hu 1-2            ","PLNNB","CYG","21 33.1","+39 38","12.7","99.9","86 ","9 ","  32.0 s","  20.0 s","   ","2          ","    ","17.3 ","    ","13'' 220X F;vS;lE 90;alm SN                            ","Egg timer shape in 100'' scope                                                        "
"B 364            ","LDN 1074          ","DRKNB","CYG","21 33.6","+54 33","79.9","79.9","57 ","3 ","  40   m","        ","   ","5 Ir       ","    ","     ","    ","                                                       ","Narrow lanes of B157                                                                  "
"B 157            ","LDN 1075          ","DRKNB","CYG","21 33.7","+54 40","79.9","79.9","57 ","3 ","   4   m","        ","   ","4 C G      ","    ","     ","    ","                                                       ","8' preceding 8th-mag. star BD +54 2576                                                "
"NGC 7093         ","                  ","ASTER","CYG","21 34.7","+46 01","99.9","99.9","86 ","9 ","        ","        ","   ","           ","    ","     ","    ","Cl;P;lC                                                ","                                                                                      "
"PK  81-14.1      ","Abell 78          ","PLNNB","CYG","21 35.5","+31 42","16.0","99.9","121","9 ","   2.0 m","   1.7 m","   ","4          ","    ","13.3 ","    ","                                                       ","Binary?                                                                               "
"PK  93+ 2.1      ","M1-79             ","PLNNB","CYG","21 37.0","+48 56","13.2","99.9","86 ","9 ","  38   s","  27   s","   ","4          ","    ","14.4 ","    ","                                                       ","                                                                                      "
"PK  91- 4.1      ","K3-84             ","PLNNB","CYG","21 38.8","+46 00","14.6","99.9","86 ","9 ","  10   s","   8   s","   ","           ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7114         ","                  ","1STAR","CYG","21 41.7","+42 49","99.9","99.9","86 ","9 ","        ","        ","   ","           ","    ","     ","    ","nebulosity var*                                        ","                                                                                      "
"NGC 7116         ","UGC 11796         ","GALXY","CYG","21 42.7","+28 57","13.3","12.4","122","9 ","   1.1 m","   0.4 m","105","Sbc        ","    ","     ","    ","vF;pL;mE                                               ","                                                                                      "
"Bark 2           ","                  ","OPNCL","CYG","21 43.6","+51 04","99.9","99.9","57 ","3 ","   5   m","        ","   ","III 1p :b  ","21  ","10   ","    ","                                                       ","                                                                                      "
"vdB 145          ","                  ","BRTNB","CYG","21 43.7","+48 55","99.9","99.9","86 ","9 ","   9   m","        ","   ","R          ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7127         ","OCL  219          ","OPNCL","CYG","21 43.9","+54 37","99.9","99.9","57 ","3 ","   2.8 m","        ","   ","IV 2 p     ","12  ","     ","    ","Cl;S;P;lC                                              ","                                                                                      "
"NGC 7128         ","OCL  218          ","OPNCL","CYG","21 44.0","+53 43"," 9.7","99.9","57 ","3 ","   3.1 m","        ","   ","II 3 m     ","35  ","11.5 ","  H ","Cl;S;pRi;has a ruby *9.5                               ","H VII 40                                                                              "
"B 164            ","LDN 1070          ","DRKNB","CYG","21 46.5","+51 04","79.9","79.9","57 ","3 ","  12   m","   6   m","   ","5 K G      ","    ","     ","    ","                                                       ","0.8 deg following Pi 1 Cyg                                                            "
"NGC 7143         ","                  ","2STAR","CYG","21 48.9","+29 57","99.9","99.9","122","9 ","        ","        ","   ","           ","    ","     ","    ","vF;D*?(inv in neb?)                                    ","                                                                                      "
"NGC 7150         ","                  ","ASTER","CYG","21 50.4","+49 45","99.9","99.9","86 ","9 ","        ","        ","   ","           ","    ","     ","    ","neb;no description                                     ","                                                                                      "
"B 168            ","LDN 1055          ","DRKNB","CYG","21 48.8","+47 30","79.9","79.9","86 ","9 "," 100   m","        ","   ","5 Ir       ","    ","     ","    ","6''-excellent dark lane; Cocoon Nebula at end          ","Narrow E-W lane;Cocoon nebula at f end                                                "
"IC  5146         ","OCL  213          ","CL+NB","CYG","21 53.4","+47 16","10.0","99.9","86 ","9 ","  20   m","  10   m","   ","IV 2 p n   ","20  "," 9.6 "," C  ","F;L;iR;*9.5 m invl;br + drk masses invl                ","Cocoon neb;at end of dark streamer B168                                               "
"PK  97- 2.1      ","M2-50             ","PLNNB","CYG","21 57.7","+51 42","14.7","99.9","57 ","3 ","   4.5 s","   3.4 s","   ","2          ","    ","15.1 ","    ","                                                       ","                                                                                      "
"NGC 7175         ","                  ","ASTER","CYG","21 58.9","+54 50","99.9","99.9","57 ","3 ","        ","        ","   ","           ","    ","     ","    ","Cl;vL;pRi;lC                                           ","                                                                                      "
"NGC 6891         ","PK 54-12.1        ","PLNNB","DEL","20 15.1","+12 42","10.5","7.4 ","208","16","  15.5 s","   7   s","   ","2a(2b)     ","    ","12.3 ","    ","stellar=9.5m                                           ","                                                                                      "
"NGC 6905         ","PK 61-9.1;H IV 16 ","PLNNB","DEL","20 22.4","+20 06","12.0","10  ","163","9 ","  44   s","  38   s","   ","3(3)       ","    ","14   ","  H ","B;pS;R;4S* nr                                          ","Blue Flash Nebula                                                                     "
"NGC 6917         ","UGC 11563         ","GALXY","DEL","20 27.5","+08 06","14.5","99.9","208","16","   1.4 m","   1   m","40 ","S pec      ","    ","     ","    ","vF;S;att to a S*                                       ","                                                                                      "
"NGC 6927         ","IC 1325           ","GALXY","DEL","20 32.6","+09 55","14.5","13.3","209","16","   0.5 m","   0.2 m","5  ","SO         ","    ","     ","    ","eF;lE                                                  ","Spindle                                                                               "
"NGC 6927A        ","MCG   2-52- 15    ","GALXY","DEL","20 32.6","+09 53","16.5","99.9","209","16","   0.3 m","   0.1 m","10 ","E6         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 6928         ","IC 1326           ","GALXY","DEL","20 32.8","+09 56","12.2","12.3","209","16","   2.1 m","   0.6 m","106","SBab       ","    ","     ","    ","pB;pL;mE                                               ","Brightest in group;P w NGC 6930 at 4'                                                 "
"NGC 6930         ","IC 1326           ","GALXY","DEL","20 33.0","+09 52","12.8","12.1","209","16","   1.2 m","   0.5 m","8  ","SBab       ","    ","     ","    ","F;mE                                                   ","                                                                                      "
"NGC 6933         ","                  ","2STAR","DEL","20 33.6","+07 23","99.9","99.9","209","16","        ","        ","   ","           ","    ","     ","    ","pB;vS;6934 f                                           ","                                                                                      "
"NGC 6934         ","GCL 117           ","GLOCL","DEL","20 34.2","+07 24"," 8.9","99.9","209","16","   7   m","        ","   ","VIII       ","    ","13.8 "," CH ","B;L;R;rrr;*16...                                       ","H I 103;*10m 2' west                                                                  "
"NGC 6944A        ","MCG   1-52- 16    ","GALXY","DEL","20 38.2","+06 54","14.1","13.6","209","16","   0.9 m","   0.7 m","30 ","SBd pec    ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 6944         ","MCG   1-52- 17    ","GALXY","DEL","20 38.4","+07 00","13.8","13.6","209","16","   1.2 m","   0.9 m","40 ","SO         ","    ","     ","    ","pF;S;R                                                 ","                                                                                      "
"NGC 6950         ","                  ","ASTER","DEL","20 41.1","+16 37","99.9","99.9","209","16","        ","        ","   ","           ","    ","     ","    ","Cl;P;vlC                                               ","H VIII 23                                                                             "
"NGC 6956         ","UGC 11619         ","GALXY","DEL","20 43.9","+12 31","12.3","13.6","209","16","   2   m","   1.9 m","   ","SBb        ","    ","     ","    ","vF;S;stell;** att                                      ","H III 219;Brightest of 3;UGC 11619                                                    "
"NGC 6954         ","UGC 11618         ","GALXY","DEL","20 44.1","+03 13","13.2","12.6","254","16","   1   m","   0.6 m","68 ","Sa         ","    ","     ","    ","F;S;vlE                                                ","                                                                                      "
"NGC 6955         ","UGC 11621         ","GALXY","DEL","20 44.3","+02 36","13.6","14.1","254","16","   1.4 m","   1.4 m","   ","Sbc        ","    ","     ","    ","eF;pL;R                                                ","                                                                                      "
"NGC 6957         ","ZwG 374.  7       ","GALXY","DEL","20 44.8","+02 35","14.4","13.3","254","16","   0.7 m","   0.7 m","   ","Sc         ","    ","     ","    ","vF;S;R                                                 ","                                                                                      "
"NGC 6969         ","UGC 11633         ","GALXY","DEL","20 48.5","+07 44","14.0","12.8","209","16","   1.1 m","   0.3 m","15 ","Sa         ","    ","     ","    ","F;pL;E                                                 ","                                                                                      "
"NGC 6971         ","UGC 11637         ","GALXY","DEL","20 49.4","+06 00","13.7","13.5","209","16","   1.1 m","   0.9 m","60 ","Sb         ","    ","     ","    ","vF;S;R                                                 ","                                                                                      "
"NGC 6972         ","UGC 11640         ","GALXY","DEL","20 50.0","+09 54","13.3","12.4","209","16","   1.1 m","   0.5 m","143","Sa         ","    ","     ","    ","F;S;R                                                  ","                                                                                      "
"PK  59-18.1      ","Abell 72          ","PLNNB","DEL","20 50.1","+13 34","14.6","99.9","209","16","   2.0 m","   1.8 m","   ","3b         ","    ","16.1 ","    ","13''-eF;pL;irR;3* invol at 135X; UHC helps             ","                                                                                      "
"NGC 6988         ","ZwG 425. 20       ","GALXY","DEL","20 55.8","+10 30","15.0","99.9","209","16","   0.7 m","   0.7 m","   ","S          ","    ","     ","    ","eF;pL;R                                                ","                                                                                      "
"NGC 7003         ","UGC 11662         ","GALXY","DEL","21 00.7","+17 48","13.0","12.7","164","16","   1.1 m","   0.8 m","120","Sbc        ","    ","     ","    ","vF;vS;lE;*15 close f                                   ","                                                                                      "
"NGC 7006         ","GCL 119           ","GLOCL","DEL","21 01.5","+16 11","10.6","99.9","209","16","   2.8 m","        ","   ","I          ","    ","15.6 "," CH ","B;pL;R;gbM                                             ","H I  52;Stars eF;very remote globular                                                 "
"NGC 7028         ","UGC 11676         ","GALXY","DEL","21 05.8","+18 29","15.0","99.9","165","16","   0.8 m","   0.4 m","   ","S          ","    ","     ","    ","vF;S;vlE                                               ","                                                                                      "
"NGC 7025         ","UGC 11681         ","GALXY","DEL","21 07.8","+16 20","12.8","13.6","210","16","   1.9 m","   1.2 m","33 ","Sa         ","    ","     ","    ","vF;vS;R;stell                                          ","                                                                                      "
"NGC 1500         ","ESO 201-13        ","GALXY","DOR","03 58.2","-52 20","13.8","13.8","420","24","   1.1 m","   0.9 m","   ","Elliptical ","    ","     ","    ","F;vS;R;pmbM;*8 np                                      ","                                                                                      "
"NGC 1506         ","ESO 156-27        ","GALXY","DOR","04 00.4","-52 34","13.5","13.4","420","24","   1.2 m","   0.9 m","80 ","E-SO       ","    ","     ","    ","eeeF;S;R;bet 2*12&13                                   ","                                                                                      "
"NGC 1515A        ","ESO 156-34        ","GALXY","DOR","04 03.8","-54 07","14.6","14.3","420","24","   1   m","   0.8 m","124","SBb        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 1515         ","ESO 156-36        ","GALXY","DOR","04 04.0","-54 06","11.2","13  ","420","24","   5.1 m","   1.1 m","18 ","SBbc       ","    ","     ","    ","B;L;vmE10;bM                                           ","                                                                                      "
"NGC 1522         ","ESO 156-38        ","GALXY","DOR","04 06.1","-52 40","13.6","13.4","420","24","   1.2 m","   0.8 m","42 ","SO         ","    ","     ","    ","eF;vS;R;vlbM                                           ","                                                                                      "
"NGC 1523         ","ESO 156-**39      ","4STAR","DOR","04 06.2","-54 05","99.9","99.9","420","24","        ","        ","   ","           ","    ","     ","    ","only 3 vF * (not a nebula)                             ","                                                                                      "
"NGC 1533         ","ESO 157-3         ","GALXY","DOR","04 09.9","-56 07","10.7","12.6","420","24","   2.5 m","   2.1 m","151","SBO        ","    ","     ","    ","vB;vL;R;smbM;2*10 nf                                   ","                                                                                      "
"NGC 1546         ","ESO 157-12        ","GALXY","DOR","04 14.6","-56 04","10.9","12.5","420","24","   3.2 m","   1.9 m","147","Sa         ","    ","     ","    ","pB;lE;gbMEN;**p                                        ","                                                                                      "
"NGC 1549         ","ESO 157-16        ","GALXY","DOR","04 15.8","-55 36"," 9.8","13  ","420","24","   4.4 m","   3.6 m","135","EO         ","    ","     ","    ","B;pS;R                                                 ","P w NGC 1553                                                                          "
"NGC 1553         ","ESO 157-17        ","GALXY","DOR","04 16.2","-55 47"," 9.4","12  ","420","24","   5   m","   3   m","150","SO         ","    ","     ","    ","vB;pS;R;gmbM;am 3*;a Dneb                              ","                                                                                      "
"NGC 1556         ","ESO 202- 4        ","GALXY","DOR","04 17.7","-50 10","13.1","12.8","420","24","   1.7 m","   0.5 m","167","Sab        ","    ","     ","    ","cF;S;E165;vglbM                                        ","Apparently misplotted                                                                 "
"NGC 1566         ","ESO 157-20        ","GALXY","DOR","04 20.0","-54 56"," 9.7","13.9","420","24","   8.2 m","   6.5 m","60 ","SBbc       ","    ","     ","    ","B;vL;vg;svmbM;15d in RA                                ","                                                                                      "
"NGC 1578         ","ESO 202-14        ","GALXY","DOR","04 23.8","-51 36","13.1","13.3","420","24","   1.2 m","   1.1 m","177","Sa         ","    ","     ","    ","pF;S;R;bM                                              ","                                                                                      "
"NGC 1581         ","ESO 157-26        ","GALXY","DOR","04 24.7","-54 57","12.9","13  ","420","24","   1.8 m","   0.7 m","80 ","E-SO Ring  ","    ","     ","    ","F;S;E;glbM                                             ","                                                                                      "
"NGC 1596         ","ESO 157-31        ","GALXY","DOR","04 27.6","-55 02","11.2","12.4","420","24","   3.7 m","   0.9 m","20 ","SO         ","    ","     ","    ","B;pL;mE15;smbM;p of 2                                  ","                                                                                      "
"NGC 1602         ","ESO 157-32        ","GALXY","DOR","04 27.9","-55 03","13.0","13.6","420","24","   1.9 m","   1.1 m","83 ","Ir Bar     ","    ","     ","    ","eF;pL;lE;f of 2                                        ","                                                                                      "
"NGC 1617         ","ESO 157-41        ","GALXY","DOR","04 31.7","-54 36","10.4","12.7","421","24","   4.8 m","   2.4 m","107","SBa        ","    ","     ","    ","B;L;mE106;vg;vsmbMN 5''                                ","                                                                                      "
"NGC 1641         ","ESO  84-SC24      ","LMCOC","DOR","04 35.7","-65 46","99.9","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","Cl;pL;pRi;pmC;*11...16                                 ","                                                                                      "
"NGC 1644         ","ESO  84-SC30      ","LMCGC","DOR","04 37.7","-66 12","13.0","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","F;S;R;gbM                                              ","                                                                                      "
"NGC 1649         ","NGC 1652          ","OPNCL","DOR","04 38.4","-68 40","12.5","99.9","444","24","   1.5 m","        ","   ","           ","    ","     ","    ","F;pS;R;gbM                                             ","                                                                                      "
"NGC 1652         ","NGC 1649          ","OPNCL","DOR","04 38.4","-68 40","13.1","99.9","444","24","  15   m","        ","   ","           ","    ","     ","    ","vF;S;R;glbM                                            ","ESO 055-SC032                                                                         "
"NGC 1669         ","ESO  84-38        ","GALXY","DOR","04 43.0","-65 49","13.9","12.4","444","24","   0.8 m","   0.4 m","97 ","Sa         ","    ","     ","    ","eF;S;R                                                 ","                                                                                      "
"NGC 1676         ","ESO  55-SC36      ","LMCOC","DOR","04 43.9","-68 50","99.9","99.9","444","24","   1   m","        ","   ","           ","    ","     ","    ","vF;pL;iR;r                                             ","                                                                                      "
"NGC 1672         ","ESO 118-43        ","GALXY","DOR","04 45.7","-59 15"," 9.7","13.4","421","24","   6.7 m","   5.6 m","170","SBb        ","    ","     ","    ","B;L;smbMN                                              ","                                                                                      "
"NGC 1693         ","ESO  56-SC2       ","LMCOC","DOR","04 47.6","-69 21","13.2","99.9","444","24","   0.7 m","        ","   ","           ","    ","     ","    ","F;S;R                                                  ","                                                                                      "
"NGC 1695         ","ESO  56-SC3       ","LMCOC","DOR","04 47.7","-69 22","12.5","99.9","444","24","   1.5 m","        ","   ","           ","    ","     ","    ","F;S;R                                                  ","                                                                                      "
"NGC 1688         ","ESO 119- 6        ","GALXY","DOR","04 48.4","-59 48","12.0","13.4","421","24","   2.4 m","   1.9 m","177","SBc        ","    ","     ","    ","pB;pL;iR;pgmbM                                         ","                                                                                      "
"NGC 1696         ","ESO  56-SC4       ","LMCOC","DOR","04 48.5","-68 15","14.0","99.9","444","24","   0.9 m","        ","   ","           ","    ","     ","    ","vF;E;vlbM                                              ","                                                                                      "
"NGC 1697         ","ESO  56-SC5       ","LMCOC","DOR","04 48.6","-68 33","13.2","99.9","444","24","   2.5 m","        ","   ","           ","    ","     ","    ","pB;L;R;rr                                              ","                                                                                      "
"NGC 1698         ","ESO  56-SC6       ","LMCDN","DOR","04 49.1","-69 07","12.2","99.9","444","24","   1.5 m","        ","   ","           ","    ","     ","    ","pB;pS;R;glbM                                           ","                                                                                      "
"NGC 1704         ","ESO  56-SC9       ","LMCOC","DOR","04 49.9","-69 45","11.5","99.9","444","24","   1.7 m","        ","   ","           ","    ","     ","    ","F;pS;lE;r                                              ","                                                                                      "
"NGC 1712         ","ESO  56-SC11      ","LMCCN","DOR","04 51.0","-69 24","99.9","99.9","444","24","   2.6 m","        ","   ","           ","    ","     ","    ","Cl;pB;S                                                ","                                                                                      "
"NGC 1722         ","ESO  56-SC12      ","LMCCN","DOR","04 51.7","-69 24","13.2","99.9","444","24","   1   m","        ","   ","E+*        ","    ","     ","    ","Cl;pF;S;R;2nd of 3                                     ","                                                                                      "
"NGC 1714         ","ESO  85-EN8       ","LMCDN","DOR","04 52.1","-66 56","11.6","99.9","444","24","   1.1 m","        ","   ","E+*        ","    ","     ","    ","vB;S;E or biN;bM;sp 2                                  ","                                                                                      "
"NGC 1715         ","ESO  85-EN9       ","LMCDN","DOR","04 52.2","-66 55","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","vF;S;R;sbM;2* nr;nf of 2                               ","                                                                                      "
"NGC 1727         ","ESO  56-SC14      ","LMCCN","DOR","04 52.2","-69 20","11.1","99.9","444","24","   2.5 m","   1.1 m","   ","E+*        ","    ","     ","    ","Cl;pB;pS;pmE;st12                                      ","                                                                                      "
"NGC 1718         ","ESO  85-SC10      ","LMCOC","DOR","04 52.4","-67 03","12.3","99.9","444","24","   2   m","        ","   ","           ","    ","     ","    ","F;pS;R;vglbM                                           ","                                                                                      "
"NGC 1706         ","ESO  85- 7        ","GALXY","DOR","04 52.5","-62 59","13.6","99.9","444","24","   1.4 m","   1   m","124","Sab        ","    ","     ","    ","F;pS;R;vglbM                                           ","                                                                                      "
"NGC 1703         ","ESO 119-19        ","GALXY","DOR","04 52.9","-59 45","11.3","13.4","421","24","   2.9 m","   2.6 m","   ","SBb        ","    ","     ","    ","F;L;R;vglbM;** att                                     ","                                                                                      "
"NGC 1736         ","ESO  56-EN16      ","LMCDN","DOR","04 53.0","-68 03","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","B;R;r                                                  ","                                                                                      "
"NGC 1732         ","ESO  56-SC17      ","LMCOC","DOR","04 53.2","-68 39","12.3","99.9","444","24","   0.9 m","        ","   ","           ","    ","     ","    ","S;R;close ** in M                                      ","                                                                                      "
"NGC 1731         ","ESO  85-SC12      ","LMCCN","DOR","04 53.5","-66 56"," 9.9","99.9","444","24","   8   m","        ","   ","E+*        ","    ","     ","    ","Cl;pL;lRi;lC;st10...15                                 ","                                                                                      "
"NGC 1734         ","ESO  56-SC18      ","LMCOC","DOR","04 53.6","-68 46","13.1","99.9","444","24","   1.4 m","        ","   ","           ","    ","     ","    ","pB;L;R;gmbM                                            ","                                                                                      "
"NGC 1737         ","ESO  56-EN20      ","LMCCN","DOR","04 54.0","-69 10","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","vF;S;1st of 4                                          ","                                                                                      "
"NGC 1733         ","ESO  85-SC13      ","LMCOC","DOR","04 54.1","-66 41","13.3","99.9","444","24","   1.1 m","        ","   ","           ","    ","     ","    ","eF;pS;R;gbM                                            ","                                                                                      "
"NGC 1743         ","Dunlop 114        ","LMCCN","DOR","04 54.1","-69 12","99.9","99.9","444","24","   2   m","   2   m","   ","E          ","    ","     ","    ","B;pL;R;gbM;r;2nd of 4                                  ","On edge of LMC                                                                        "
"NGC 1735         ","ESO  85-SC15      ","LMCCN","DOR","04 54.3","-67 06","10.9","99.9","444","24","   1.3 m","        ","   ","           ","    ","     ","    ","pF;pS;R;2* att                                         ","                                                                                      "
"NGC 1745         ","ESO  56-SC22      ","LMCCN","DOR","04 54.3","-69 10","99.9","99.9","444","24","   2   m","   2   m","   ","           ","    ","     ","    ","F;S;3rd of 4                                           ","                                                                                      "
"NGC 1748         ","IC 2114           ","LMCCN","DOR","04 54.4","-69 11","99.9","99.9","444","24","   0.5 m","        ","   ","E          ","    ","     ","    ","pB;vS;R;4th of 4                                       ","                                                                                      "
"NGC 1756         ","ESO  56-SC27      ","LMCOC","DOR","04 54.8","-69 14","12.2","99.9","444","24","   1   m","   1   m","   ","           ","    ","     ","    ","vF;S;R                                                 ","                                                                                      "
"NGC 1749         ","ESO  56-SC26      ","LMCOC","DOR","04 54.9","-68 11","13.6","99.9","444","24","   1.1 m","        ","   ","           ","    ","     ","    ","vF;R;p of 2                                            ","                                                                                      "
"NGC 1747         ","ESO  85-SC16      ","LMCCN","DOR","04 55.2","-67 10"," 9.4","99.9","444","24","  12   m","  10   m","   ","E+*        ","    ","     ","    ","Cl;pS;lRi;st vS                                        ","                                                                                      "
"NGC 1755         ","ESO  56-SC28      ","LMCOC","DOR","04 55.2","-68 12"," 9.9","99.9","444","24","   2   m","        ","   ","           ","    ","     ","    ","vB;pL;R;gbM;f of 2                                     ","In LMC                                                                                "
"NGC 1764         ","ESO  56-SC30      ","LMCOC","DOR","04 56.5","-67 42","12.9","99.9","444","24","   0.5 m","   0.5 m","   ","           ","    ","     ","    ","vF;S;R                                                 ","                                                                                      "
"NGC 1767         ","ESO  56-SC31      ","LMCCN","DOR","04 56.5","-69 24","10.9","99.9","444","24","   1.6 m","        ","   ","E+*        ","    ","     ","    ","no descr in LMC                                        ","                                                                                      "
"NGC 1761         ","ESO  85-SC18      ","LMCCN","DOR","04 56.6","-66 29"," 9.9","99.9","444","24","   1.2 m","        ","   ","           ","    ","     ","    ","Cl;L;mC;**9M                                           ","                                                                                      "
"NGC 1760         ","ESO  85-EN19      ","LMCCN","DOR","04 56.7","-66 32","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","vF;S;3vS* inv                                          ","                                                                                      "
"NGC 1763         ","IC 2115           ","LMCCN","DOR","04 56.8","-66 25","99.9","99.9","444","24","  25   m","  20   m","   ","E          ","    ","     ","    ","vB;vL;vimE                                             ","                                                                                      "
"NGC 1772         ","ESO  56-SC33      ","LMCCN","DOR","04 56.9","-69 33","11.2","99.9","444","24","   1.5 m","        ","   ","           ","    ","     ","    ","pB;pS;iR;rr                                            ","                                                                                      "
"NGC 1768         ","ESO  56-SC32      ","LMCOC","DOR","04 57.0","-68 15","12.8","99.9","444","24","   0.9 m","        ","   ","           ","    ","     ","    ","F;S;R;gbM                                              ","                                                                                      "
"NGC 1770         ","IC 2117           ","LMCCN","DOR","04 57.3","-68 25"," 9.0","99.9","444","24","        ","        ","   ","E+*        ","    ","     ","    ","Cl+ neb;pL;pRi;*11...18                                ","                                                                                      "
"NGC 1769         ","ESO  85-EN23      ","LMCCN","DOR","04 57.7","-66 28","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","B;L;iR;vsmbM                                           ","                                                                                      "
"NGC 1782         ","ESO  56-SC36      ","LMCCN","DOR","04 57.9","-69 24","10.8","99.9","444","24","   1.2 m","        ","   ","           ","    ","     ","    ","pB;S;R;pmbM;rr                                         ","                                                                                      "
"NGC 1774         ","ESO  85-SC26      ","LMCOC","DOR","04 58.1","-67 15","10.5","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","B;S;R;smbM;**+ neb                                     ","                                                                                      "
"NGC 1773         ","ESO  85-EN25      ","LMCCN","DOR","04 58.2","-66 22","99.9","99.9","444","24","        ","        ","   ","E          ","    ","     ","    ","pF;pL;iR;2 or 3 B st nr                                ","                                                                                      "
"NGC 1765         ","ESO 119-24        ","GALXY","DOR","04 58.4","-62 02","12.9","13  ","444","24","   1.2 m","   1   m","150","Elliptical ","    ","     ","    ","cF;S;R;glbM                                            ","                                                                                      "
"NGC 1776         ","ESO  85-SC28      ","LMCOC","DOR","04 58.7","-66 26","13.3","99.9","444","24","   1.1 m","        ","   ","           ","    ","     ","    ","vF;S;R;gbM                                             ","                                                                                      "
"NGC 1785         ","ESO  56-**38      ","ASTER","DOR","04 58.8","-68 49","99.9","99.9","444","24","   3   m","        ","   ","           ","    ","     ","    ","no descr in LMC                                        ","                                                                                      "
"NGC 1771         ","ESO  85-27        ","GALXY","DOR","04 58.9","-63 18","13.4","13.2","444","24","   1.8 m","   0.5 m","136","Sc         ","    ","     ","    ","vF;mE;glbM;*7;8 np                                     ","                                                                                      "
"NGC 1783         ","ESO  85-SC29      ","LMCGC","DOR","04 59.1","-65 59","11.0","99.9","444","24","        ","        ","   ","           ","    ","     ","    ","cB;L;R;vgpmbM;r                                        ","                                                                                      "
"NGC 1786         ","ESO  56-SC39      ","LMCGC","DOR","04 59.1","-67 45","10.1","99.9","444","24","   1.2 m","        ","   ","2          ","    ","     ","    ","vB;pS;lE;vsvmbM;* 9                                    ","In LMC;bright foreground star                                                         "
"NGC 1793         ","ESO  56-SC43      ","LMCOC","DOR","04 59.6","-69 33","12.4","99.9","444","24","   0.7 m","   0.5 m","   ","           ","    ","     ","    ","F;S;R;glbM                                             ","                                                                                      "
"NGC 1795         ","ESO  56-SC44      ","LMCGC","DOR","04 59.8","-69 48","13.7","99.9","444","24","   1.5 m","   1   m","   ","           ","    ","     ","    ","F;pL;lE                                                ","                                                                                      "
"NGC 1801         ","ESO  56-SC45      ","LMCOC","DOR","05 00.6","-69 37","12.2","99.9","444","24","   2.1 m","        ","   ","           ","    ","     ","    ","F;pL;R;vglbM;p of 2                                    ","                                                                                      "
"NGC 1804         ","ESO  56-SC46      ","LMCOC","DOR","05 01.1","-69 05","11.9","99.9","444","24","   1   m","        ","   ","           ","    ","     ","    ","F;S;R;bM                                               ","                                                                                      "
"NGC 1787         ","ESO  85-SC31      ","LMCOC","DOR","05 01.7","-65 49","10.9","99.9","444","24","  23   m","        ","   ","           ","    ","     ","    ","Cl;vL;pRi                                              ","                                                                                      "
"NGC 1809         ","ESO  56-48        ","GALXY","DOR","05 02.1","-69 34","12.1","13  ","444","24","   3.2 m","   0.8 m","143","Sc         ","    ","     ","    ","pF;S;R;gbM;2nd of 2                                    ","                                                                                      "
